"","V1"
"22","oleoestepa nuevo proveedor de  de aceite de oliva virgen extra gran selección cooperativa hacendado tras siete años de colaboración con  en la que oleoestepa suministraba a sovena el aceite para la referencia aceite de oliva virgen extra gran selección cooperativa hacendado la cooperativa asume ahora también el último paso de la cadena de valor el envasado en sus instalacionesesta decisión adoptada conjuntamente entre oleoestepa sovena y  se integra en la estrategia de esta última de estrechar la relación con sus actuales proveedores especialistas y ha sido posible gracias a la ampliación de la capacidad industrial de oleoestepa sovena continúa como interproveedor del resto de referencias de aceite de oliva y de girasol hacendadola referencia aceite de oliva virgen extra gran selección cooperativa hacendado es un coupage diseñado exclusivamente para  comercializado en envase de cristal de  ml oleoestepa sovena y  han decidido que sea la cooperativa quien a partir de ahora asuma el envasado de la referencia aceite de oliva virgen extra gran selección cooperativa hacendado sovena continúa como interproveedor del resto de referencias de aceite de oliva y de girasol hacendado en la categoría de aceitesesta medida ha sido posible gracias a la ampliación de la capacidad industrial de oleoestepa que permite absorber el envasado de esta referencia de aceite de oliva virgen extra de hacendado hasta ahora oleoestepa suministraba a sovena el aceite de esta referencia para su envasado la distribución de este aceite envasado por oleoestepa se realizará por fases a través de los distintos almacenes de  empezando en este mes de agosto por el almacén que tiene la compañía en huévar del aljarafe sevilla y que abastece a los supermercados de las provincias de sevilla huelva cádiz y varios establecimientos de las provincias de badajoz córdoba y málaga posteriormente se irá ampliando la distribución hasta noviembre de este año donde pondrá encontrase en todos las tiendas de la cadenael aceite de oliva virgen extra gran selección de cooperativa es un coupage diseñado exclusivamente para la marca hacendado que se comercializa en los establecimientos de  en envase de cristal de  ml desde hace más de siete añosel liderazgo de oleoestepa como productor especialista de virgen extra de alta calidad se ha visto reforzado en la presente campaña con la obtención de más de  premios a la calidad entre los que destaca el premio al mejor virgen extra de españa otorgado por el ministerio de medio ambiente alimentación y medio ambiente en la presente campaña y el reconocimiento del sector oleícola con el primer premio en la feria internacional expoliva 2015 en el ámbito internacional cabe señalar el reconocimiento al mejor virgen extra ecológico en biofach alemania y los otorgados por el consejo  oleícola internacional coisobre oleoestepaoleoestepa es una sociedad cooperativa productora y comercializadora de aceite de oliva virgen extra con  años de actividad cuenta con  almazaras asociadas ubicadas en las provincias de sevilla y córdoba esta cooperativa produce y comercializa las marcas oleoestepa en sus variedades hojiblanca arbequina y selección y en la línea gourmet estepa virgen y egregio ecológicooleoestepa agrupa a más de  agricultores con más de  hectáreas de olivar un ecosistema de  millones de olivos que han producido en la actual campaña más de  toneladas de aceite con niveles óptimos de calidad la apuesta decidida desde sus inicios por la excelencia en el aceite de oliva se refleja en el hecho de que oleoestepa sólo envasa aceite de oliva virgen extra también por su sostenibilidad gracias a la implantación de un sistema de producción integrada con el que protege el medioambiente y logra producir campaña tras campaña un aceite de oliva virgen extra de máxima calidadoleoestepa pertenece a la asociación de productores de virgen extra de alta calidad qvextra y sus productos cuentan con el sello de máxima calidad de siqev asimismo la alta calidad está garantizada por el consejo regulador de la denominación de origen protegida estepaopera en todo el territorio nacional y exporta a países de la unión europea así como a china japón méxico canadá y estados unidos entre otros paísessobre sovena españaempresa líder del sector del aceite envasado sovena españa es la empresa que envasa el aceite de oliva hacendado producto de origen  porcentaje  español que se vende en los supermercados de  de la que sovena es interproveedora y que en 2014 representó el  porcentaje  de su actividadcon una plantilla al cierre de 2014 de  personas cuenta con dos fábricas ubicadas en brenes sevilla y andújar jaén para el envasado de aceite de oliva y el molturado refinado y envasado de aceite de girasol además tiene dos fábricas de aderezo de aceituna en plasencia y almendralejo badajoz para la comercialización de aceituna de mesaasimismo desde junio de 2014 sovena controla el  porcentaje  de agroproducciones oleaginosas proyecto en el que también participa con el mismo porcentaje de participación acor y que se creó para aglutinar las actividades de compra de semillas y comercialización de aceite alimentario a granel de ambos socios y con unas instalaciones industriales que aseguran una eficaz política comercial para productores y consumidores"
"23"," comienza las obras de su bloque logístico  de vitoriagasteiz el proyecto supondrá una inversión en una primera fase de  millones de euros y la creación de  puestos de trabajo directos estables y de calidadse espera que las obras de la primera fase del bloque logístico situado en el polígono de júndiz y que abastecerá a los supermercados de la zona norte terminen a finales de 2017 ha comenzado las obras de su bloque logístico situado en el polígono de júndiz en vitoriagasteiz arabaálava el proyecto supondrá una inversión en una primera fase de  millones de euros y la creación de  puestos de trabajo directos apostando por un empleo estable y de calidad que se irán incorporando conforme avancen las fases del proyecto se espera que las obras de la primera fase del bloque logístico en las que participarán  pymes y que abastecerá los supermercados de la cadena en la zona norte estén terminadas para finales de 2017 esta inversión reafirma la decidida apuesta de  por euskadiel bloque logístico situado en una parcela de  m2 entre las calles bidegana y fuentecillas contará con una construcción inicial de aproximadamente  m2 esta primera fase albergará una nave con varias zonas diferenciadas y separadas con distintas temperaturas por un lado una zona destinada a la fabricación de pan otra zona destinada a producto congelado y una tercera zona para producto fresco todas ellas totalmente automatizadas por otro lado existirá una cuarta zona para el almacenamiento manual y grupaje entre las zonas de pan y congelados estará el pasillo de instalaciones donde se generarán y distribuirán los distintos suministros que hacen funcionar las instalaciones de cada una de las  cuatro zonasel bloque logístico de vitoriagasteiz se unirá a la red logística eficiente de  que en su conjunto supera los  m2 de superficie por medio de ella la compañía abastece eficientemente a todos sus supermercados con el objetivo además de transportar cada vez más con menos recursos y de permanecer invisible para el entorno desde que la compañía decidió apostar por este innovador modelo logístico que elimina sobreesfuerzos ha destinado importantes recursos a la modernización de su red logística inteligente para la que diariamente trabajan más de  personas y en la que ha invertido a lo largo de estos años más de  millones de eurossobre  en euskadi mantiene su apuesta decidida por euskadi donde ya cuenta con  tiendas situadas en vitoriagasteiz y una plantilla de  personas todas ellas con empleo estable y de calidad asimismo tiene relación comercial con  pymes y empresas de esta comunidad en 2014 ha realizado compras a proveedores vascos por valor de  millones de euros y junto con los fabricantes interproveedores ha invertido más de  millones de euros en euskadi un ejemplo de sus proveedores agroalimentarios así como de su apuesta por el producto local es la compra de más de  kilos de patata de álava otro claro ejemplo de su implicación con las empresas vascas en este caso de servicios es la relación comercial que mantiene con ormazabal desde hace varios años proveedor de los centros de transformación de todos sus supermercados que anualmente le factura una media de  millones de euros como parte de su responsabilidad social corporativa  colabora diariamente con el comedor social nuestra señora de los desamparados de vitoriagasteiz que atiende una media de  personas al día así como con el banco de alimentos de araba al que recientemente ha donado  kilos de productos de primera necesidad en este sentido en 2014 la colaboración con entidades sociales en euskadi alcanzó las  toneladas de alimentos donados"
"24"," y los proveedores lácteos de hacendado suben el precio de la leche a sus ganaderos tras estudiar de forma conjunta cada acuerdo con los más de  ganaderos con los que colaboran aplicarán incrementos individualizados que pueden suponer hasta un máximo de  céntimos de euros por litroesta medida irá dirigida en especial a los ganaderos de aquellas zonas que están sufriendo más directamente la difícil situación actual en la que se encuentra el sector lácteo mantiene un compromiso constante con la sostenibilidad del sector lácteo y ya en 2012 asumió un incremento total de  céntimos de euro más por litro de leche y sus interproveedores lácteos iparlat lactiber covap entrepinares quesería lafuente postres lácteos romar  y schreiber y otros proveedores que envasan bajo la marca hacendado han acordado pagar más por litro de leche a los ganaderos nacionales con los que trabajanpara ello están analizando cada uno de los acuerdos que mantienen con los más de  ganaderos con el compromiso de aplicar los incrementos pertinentes en cada caso que se considere necesario y que pueden suponer hasta un máximo de  céntimos de euros por litro de lecheesta medida irá dirigida principalmente a aquellas zonas que están sufriendo más directamente la difícil coyuntura actual en la que se encuentra el sector lácteo y será efectiva a partir de las liquidaciones del presente mes de septiembre el incremento de costes no se trasladará al precio final que pagan los clientes en las tiendasel modelo de gestión de  que apuesta por las relaciones estables permite que actualmente los ganaderos que recogen la leche para la marca hacendado cobren por ella un precio sostenible lo que supone que están por encima de la media por litro que se paga en cada una de las zonas productoras si bien la constatación de la difícil situación que atraviesan muchas explotaciones lácteas debido a los cambios acaecidos en el mercado el excedente de leche mundial y la bajada de la demanda y el consumo ha provocado que  y los interproveedores y proveedores actúen ante esta realidadigualmente y como consecuencia de esta estrecha relación y de las recientes reuniones sectoriales que se han impulsado para analizar la situación también han decidido dar un paso al frente y abordar las acciones necesarias para poner en valor la leche y los productos lácteos nacionales con el objetivo de hacer un llamamiento para incrementar su consumo a tal efecto se seguirá apostando por un marco de relaciones estables que contribuya a disponer de una cadena agroalimentaria sostenible premisa que forma parte del modelo de relación con el proveedor de  y con una favorable predisposición a suscribir el acuerdo sectorial que los distintos agentes están impulsandocadena agroalimentaria sostenible de con esta decisión se da un nuevo paso en la búsqueda de soluciones sostenibles para el sector primario español con el que  fomenta el diálogo y la colaboración entre todos los componentes de la cadena agroalimentaria y contribuye a su productividad a través de los hechos en este sentido la compañía lleva años trabajando por reforzar la sostenibilidad del sector lácteo nacional para lo que mantiene con sus interproveedores envasadores de leche hacendado y fabricantes de derivados lácteos relaciones basadas en la estabilidad la garantía de compra la mejora continua de la eficiencia en todos los eslabones y la firme apuesta por las compras nacionalesmuestra de ello son los frecuentes encuentros que desde hace años se mantienen con diferentes asociaciones ganaderas y que ya en 2012 ante la coyuntura específica que atravesaba el sector propiciaron que la compañía y sus interproveedores lácteos decidiesen abonar  céntimos de euro más por litro de leche a los más de  ganaderos con los que colaboraban en dicho ejercicioesta iniciativa como la actual contribuye a consolidar los vínculos de  y los interproveedores con el sector lácteo español actualmente  colabora a través de dichos interproveedores con un total de  ganaderos de toda españa"
"25"," abre un supermercado en barakaldo este nuevo establecimiento el primero de  en bizkaia ha supuesto una inversión de  millones de euros y cuenta con una plantilla de  trabajadores con empleo estable y de calidaden su construcción han participado una media de  proveedores que han dado empleo a más de  personas durante la fase de obra abre mañana su primer establecimiento en barakaldo bizkaia concretamente en el centro comercial megapark ubicado en la avenida la ribera la inversión realizada en este supermercado ha sido de  millones de euros y cuenta con una plantilla de  trabajadores con empleo estable y de calidad en la construcción y puesta en marcha de esta tienda han participado una media de  proveedores que han dado empleo a más de  personas durante la fase de obrael centro el primero que la compañía abre en bizkaia tiene una sala de ventas de  m2 donde se ubican todas las secciones habituales de  carnicería charcutería perfumería alimentación envasada bebidas y droguería destacan también las renovadas secciones de productos frescos pescadería con pescado directo de lonja horno a granel y la sección de fruta y verdura que apuesta por la venta de productos frescos de proximidad asimismo el establecimiento dispone de zonas de descanso y vestuarios para los trabajadores así como de una sala destinada a la formación continua de la plantillael horario de apertura del supermercado es de lunes a sábado de  a  además  ha habilitado como en el resto de sus supermercados su servicio a domicilio la telecompra y la compra online a través de la página web otro aspecto destacado de la tienda es su carácter ecoeficiente ya que incorpora un conjunto de medidas como recuperadores de calor iluminación más eficiente temporizadores y puertas automáticas que reducen hasta un  porcentaje  el consumo energéticodesde  patricia cortizas directora territorial de relaciones externas ha manifestado que estamos muy satisfechos con la apertura de nuestra primera tienda en bizkaia se cumple así un hito más de nuestro plan de expansión en euskadi ahora comienza un nuevo reto para nosotros nos establecemos en un mercado consolidado y con un comercio de gran nivel por lo que tendremos que esforzarnos cada día para adaptarnos y corresponder a toda la confianza que los clientes vascos nos demuestransobre  en euskadi mantiene su apuesta decidida por euskadi donde ya cuenta con  tiendas situadas en vitoriagasteiz y una plantilla de  personas todas ellas con empleo estable y de calidad recientemente ha comenzado la construcción de un bloque logístico en vitoriagasteiz que supondrá una inversión de  millones de euros en una primera fase así como la creación de  puestos de trabajo y abastecerá a los supermercados de la zona norte asimismo tiene relación comercial con  pymes y empresas de esta comunidad en 2014 ha realizado compras a proveedores vascos por valor de  millones de euros y junto con los fabricantes interproveedores ha invertido más de  millones de euros en euskadi un ejemplo de sus proveedores agroalimentarios así como de su apuesta por el producto local es la compra de más de  kilos de patata de álava otro claro ejemplo de su implicación con las empresas vascas en este caso de servicios es la relación comercial que mantiene con ormazabal desde hace varios años proveedor de los centros de transformación de todos sus supermercados que anualmente le factura una media de  millones de euros como parte de su responsabilidad social corporativa en 2014 la colaboración con entidades sociales en euskadi alcanzó las  toneladas de alimentos donadossiempre precios bajoscon esta nueva apertura los clientes de  se beneficiarán de su política comercial spb siempre precios bajos que la compañía utiliza de forma exclusiva y que consiste en garantizar el menor precio unitario de los productos con la mejor calidad de forma permanente gracias a ello  puede ofrecer a sus clientes más calidad por menos precio compromiso que en tiempos como los actuales es más importante que nunca para las economías familiares"
"26"," invierte  millones de euros en  nuevas aperturas y reformas  cierra el año 2015 con  tiendas tras la apertura de  nuevos supermercados y el cierre de  de ellosen la construcción de cada tienda han participado una media de  proveedores y más de  personasla compañía ha reformado  de sus establecimientos siguiendo el modelo de tienda ecoeficiente ha inaugurado  nuevos supermercados de proximidad en 2015 y tras cerrar  de ellos que no se ajustaban a los estándares actuales requeridos por la compañía eleva a  el número total de tiendas con estas aperturas la compañía ya está presente en  provincias de  comunidades autónomas la inversión en estas nuevas tiendas incluyendo la reforma de  de sus establecimientos asciende a  millones de euros a cierre de 2015esta inversión se ha traducido en que  proveedores han dado trabajo a más de  personas durante la fase de obra de cada una de las tiendas a lo que hay que sumar el equipo técnico de la compañía que durante  meses trabaja en la contratación y elaboración del proyecto de diseño y ejecución de dichas obraslas nuevas tiendas además responden al modelo de tienda ecoeficiente en el que priman criterios como la eficiencia energética espacios diferenciados por negocios o la comodidad de usocon la apertura y reforma de estas nuevas tiendas  cumple con su objetivo de aperturas marcado para 2015 y sigue acercándose a sus clientes que cada año solicitan su presencia en los barrios en los que residen"
"27"," incrementa su facturación un  porcentaje  hasta los  millones de euros crea  nuevos empleos fijos directos con un salario mínimo de inicio de  euros netos al mes que suman una plantilla de  personas las ventas en volumen han crecido un  porcentaje  hasta los  millones de kilos y litros kilitrosun año más ha procedido a compartir su beneficio total entre los componentes de la compañía  millones entre sus trabajadores en concepto de prima por objetivos  millones a la sociedad en concepto de impuestos y de los  millones de euros de beneficio neto  porcentaje   se han reinvertido en la empresa como recursos propios y el resto se ha repartido entre los accionistas vía dividendosel beneficio neto mejora un  porcentaje  hasta los  millones de euros y la inversión alcanza los  millones de eurosla contribución tributaria de  vía impuestos y seguridad social se eleva a  millones de euros en 2015el clúster industrial de los fabricantes interproveedores de  en españa supera las  fábricas con más de  empleos ha incrementado en 2015 su facturación un  porcentaje   millones alcanzando los  millones de euros el beneficio neto de la compañía que representa el  porcentaje  de la cifra de ventas ha crecido un  porcentaje  hasta los  millones de euros también las ventas por volumen han aumentado concretamente un  porcentaje  hasta los  millones de kilos y litros kilitros un balance que muestra la confianza depositada por los más de  millones de hogares que realizan la compra en sus supermercados además la compañía ha cumplido de nuevo su compromiso de bajar el precio del carro menú y en 2015 lo ha reducido en un  porcentaje  lo que ha supuesto un ahorro de  euros al año para los  eljefe  ha continuado en 2015 su crecimiento y ha invertido más de  millones de euros en la apertura de  nuevos supermercados lo que hizo crecer su red hasta los  y en la reforma de otros  otras inversiones significativas han sido la construcción del bloque logístico de abrera barcelona ya en funcionamiento en un  porcentaje  y el inicio del nuevo bloque logístico de vitoriagasteizsu contribución tributaria con el país ha aumentado en 2015 hasta los  millones de euros de este total  millones de euros corresponden a la seguridad social  al impuesto de sociedades  a la recaudación del iva y del irpf y  a otros impuestos y tasasavanza en la transformación tecnológica y digitalen 2015  ha seguido avanzando en su proyecto de transformación tecnológica y digital para lo cual ha destinado más de  millones de euros de sus inversiones todo ello con un doble objetivo poner la información al servicio de la toma de decisiones de su plantilla y mejorar la experiencia de compra de los clientes como parte de esta adaptación tecnológica ha implantado un sistema de análisis de información big data más veloz y en tiempo real ha instalado balanzas táctiles más intuitivas y ha realizado pruebas con terminales de última generación en varias tiendas que permiten conocer el stock al momento en cada supermercadoen 2016 y dentro de este proceso de innovación digital  iniciará la construcción de su segundo centro de proceso de datos en villadangos del parámo león con una inversión inicial prevista de  millones de euros además abordará la reingeniería de su página web para hacerla más fácil ágil y visual en 2015 las ventas del canal online crecieron un  porcentaje  y aportaron  millones de euros a la cifra total de facturacióncompartir el beneficio generadosiguiendo el principio de que el éxito si es compartido sabe mejor  de su beneficio total generado de  millones de euros ha repartido un año más el  porcentaje  con la plantilla  millones de euros en concepto de prima por objetivos además un  porcentaje  de las ganancias  millones ha revertido en la sociedad en concepto de impuestos un  porcentaje   millones se ha reinvertido en la empresa como recursos propios y el  porcentaje  restante se ha repartido entre los accionistas vía dividendoscadena agroalimentaria sostenible de la teoría a los hechosla apuesta por el desarrollo de una cadena agroalimentaria sostenible de  caspopdona sigue avanzando y ha vuelto a generar en 2015 un impacto muy positivo en el sector primario español ejemplo de ello es el incremento de la productividad en sectores como el arrocero en el que el interproveedor arrocerías pons junto a agricultores de extremadura y valencia ha logrado incrementar el rendimiento de los cultivos un  porcentaje  y reducir un  porcentaje  los costes aumentando la rentabilidad y minimizando al mismo tiempo el impacto medioambiental también es consecuencia de caspopdona el proyecto covap  para modernizar el sector lácteo con el que más de  ganaderos han reforzado la rentabilidad de sus granjas junto a estos ejemplos cabe destacar la multiplicación de las plantillas de las flotas pesqueras de unión martín y pescanoah islas con más de  trabajadores o el proyecto girasol que sovena y asaja están desarrollando en la provincia de cuenca para analizar el proceso productivo del girasolademás de la contribución de todos estos ejemplos a la modernización y dinamización del sector agroalimentario español caspopdona permite a la compañía incrementar la satisfacción de sus clientes al ofrecerles productos de la máxima calidad y frescura de hecho las nuevas secciones de frescos fruta y verdura horno carnicería y pescado han experimentado en 2015 un crecimiento medio de  kilos por tienda y díaun clúster industrial en españa de más de  fábricasen 2015  ha seguido reforzando su compromiso con el desarrollo socioeconómico de nuestro país a través de su industrialización para ello los interproveedores que fabrican entre otros los productos de las marcas hacendado bosque verde deliplus y compy han invertido  millones de euros que han destinado en su mayoría a la apertura de  nuevas fábricas y líneas de producción cuentan además con una plantilla conjunta de  personas tras incorporar en 2015 a  personaseste plan de inversiones sostenido en el tiempo ha propiciado que actualmente  y sus  interproveedores sumen más de  fábricas en españa lo que le ha permitido configurar uno de los clústers agroalimentarios más dinámicos e innovadores de europaimpacto de la actividad económica de  y su cadena de valor en españaa lo largo del año la compañía ha seguido consolidando la aportación que su actividad genera al conjunto de la sociedad española según los datos del informe impacto económico de  2015 realizado por el instituto valenciano de investigaciones económicas ivie la compañía y su cadena de montaje caspopdona en españa representan el  porcentaje  del pib  millones de euros el  porcentaje  de los empleos totales existentes en nuestro país  trabajadores al tiempo que realiza el  porcentaje  de sus compras en españa que en su conjunto suponen  millones de euroscompromisos para 2016en 2016  tiene previsto realizar una inversión aproximada de  millones de euros que se destinarán fundamentalmente a la apertura de  nuevas tiendas la reforma de  supermercados la continuación de las obras de construcción de los bloques logísticos de abrera barcelona y de vitoriagasteiz a seguir impulsando la transformación tecnológica con el inicio de la construcción de su segundo centro de proceso de datos en villadangos del parámo león y la renovación de su página web  algunos hechos relevantes en 2015 20142015observacionestiendas1 netas  aperturas   cierresventas civa porcentaje unidades de venta kilitros porcentaje compartir beneficio total generado porcentaje trabajador prima por objetivos porcentaje impuestos porcentaje beneficio neto porcentaje contribución tributaria porcentaje inversiónr propios porcentaje plantilla total de la compañía74 en millones de euros en millones de kiloslitrosjuan roig durante la presentación de resultados de  de 2015juan roig durante la presentación de resultados de  de 2015juan roig y miembros del comité de dirección de  durante la presentación de resultados de  de 2015memoria anual 2015descargar   "
"28"," contratará  personas para la campaña de verano estas contrataciones se prolongarán durante la campaña de verano que comprende el periodo de junio a septiembreel salario neto será de  euros al mes empresa familiar de capital  porcentaje  español incorporará a su plantilla un total de  personas de cara a la próxima campaña de verano que comprende el periodo de junio a septiembre esto supone un incremento de  personas respecto a las  contratadas durante el verano de 2015la compañía está actualmente realizando el proceso de selección para cubrir estos puestos la mayor parte en las  tiendas que tiene en españa el objetivo es poder seguir ofreciendo un servicio excelente a sus  eljefe  clientes en un periodo en el que una parte importante de su plantilla disfruta de sus vacaciones y ante el incremento de actividad y consumo que se produce durante estas fechas con una muy favorable previsión de llegada de turistas a nuestro paíspara josé elías portales director de contratación de recursos humanos de la compañía el incremento de contratación de más de  personas respecto al pasado año es necesario para ofrecer un servicio excelente a nuestros clientes como en 2015 vamos a formar a todas estas personas que incorporamos para conseguir que los millones de turistas que vienen a españa se lleven una excelente imagen de nuestros supermercados y contribuir además a reforzar su experiencia en las ciudades donde  está presente poniendo en valor el papel de nuestra industria turística"
"29"," abre un supermercado en irún este nuevo establecimiento el primero de  en gipuzkoa ha supuesto una inversión de  millones de euros y cuenta con una plantilla de  trabajadores con empleo estable y de calidaden su construcción han participado  proveedores que han dado empleo a  personas durante la fase de obra abre hoy su primer supermercado en gipuzkoa concretamente en el número  de la calle mazuola en irun la inversión realizada en este supermercado ha sido de  millones de euros y cuenta con una plantilla de  trabajadores con empleo estable y de calidad en la construcción y puesta en marcha de esta tienda han participado  proveedores que han dado empleo a  personas durante la fase de obrael centro tiene una sala de ventas de  m2 donde se ubican todas las secciones habituales de  carnicería charcutería perfumería alimentación envasada bebidas y droguería destacan también las renovadas secciones de productos frescos pescadería con pescado directo de lonja horno a granel y la sección de fruta y verdura que apuesta por la venta de productos frescos de proximidad asimismo el establecimiento dispone de zonas de descanso y vestuarios para los trabajadores así como de una sala destinada a la formación continua de la plantillael horario de apertura del supermercado es de lunes a sábado de  a  y dispone de un aparcamiento con más de  plazas para facilitar el acto de compra a todos los clientes que se desplacen en vehículo privado además  ha habilitado como en el resto de sus supermercados su servicio a domicilio la telecompra y la compra online a través de la página webotro aspecto destacado de la tienda es su carácter ecoeficiente ya que incorpora un conjunto de medidas como recuperadores de calor iluminación más eficiente temporizadores y puertas automáticas que reducen hasta un  porcentaje  el consumo energéticosobre  en euskadi mantiene su apuesta decidida por euskadi donde ya cuenta con  tiendas  situadas en vitoriagasteiz arabaálava una en barakaldo una en basauri y otra en bilbao bizkaia su plantilla está compuesta por  personas todas ellas con empleo estable y de calidad en agosto de 2015 comenzó la construcción de un bloque logístico en vitoriagasteiz que supondrá una inversión de  millones de euros en una primera fase así como la creación de  puestos de trabajo y abastecerá a los supermercados de la zona norte asimismo tiene relación comercial con  pymes y empresas de esta comunidad en 2015 ha realizado compras a proveedores vascos por valor de  millones de euros y junto con los fabricantes interproveedores ha invertido  millones de euros en euskadi un ejemplo de sus proveedores agroalimentarios y de su apuesta por el producto local es la compra de más de  kilos de patata de álava así como de más de  toneladas de pescado fresco como merluza bonito anchoa sardina chicharro verdel lirio y gallo tanto en la costa vizcaína como en la guipuzcoana como parte de su responsabilidad social corporativa en 2015 la colaboración con entidades sociales en euskadi alcanzó las  toneladas de alimentos donadossiempre precios bajoscon esta nueva apertura los clientes de  se beneficiarán de su política comercial spb siempre precios bajos que la compañía utiliza de forma exclusiva y que consiste en garantizar el menor precio unitario de los productos con la mejor calidad de forma permanente gracias a ello  puede ofrecer a sus clientes más calidad por menos precio"
"30"," aprueba iniciar su proyecto de internacionalización en portugal el comité de dirección de la compañía ha aprobado en su reciente reunión de junio el inicio de la expansión de  en portugalen una primera fase el objetivo de la compañía es la instalación de  supermercados que abrirían sus puertas en 2019la inversión inicial prevista en esta fase es de  millones de euros y se prevé la creación de  puestos de trabajoel comité de dirección de la compañía de supermercados  ha decidido en base a lo establecido por el consejo de administración poner en marcha su plan de internacionalización con la entrada en el mercado portugués el objetivo de la compañía es abrir las cuatro primeras tiendas en 2019 iniciando con este hito su proyecto de expansión internacional prevé invertir inicialmente  millones de euros y estima crear en torno a  puestos de trabajo en esta primera fase de expansión para ello la compañía tiene previsto iniciar ya los contactos institucionales y trabajos en el terreno así como el proceso de identificación de los lugares más idóneos para realizar sus cuatro primeras aperturas en portugal ha trasladado a las autoridades portuguesas su decisión de establecer su proyecto empresarial en el mercado portugués y las claves del modelo de crecimiento compartido que impulsa la compañía portugal es una gran oportunidad para iniciar el crecimiento internacional de la compañía y un país del que podemos aprender tanto del consumidor como de un sector altamente competitivo como el de la distribución la posibilidad de contribuir al progreso económico y social del país y al impulso del sector agroalimentario es un reto ilusionante y una aspiración que todos los que formamos parte del proyecto  sentimos como un compromiso ha manifestado el presidente de la compañía juan roigla elección de portugal por parte de  para iniciar su plan internacional ha estado determinada por tratarse de un mercado cercano de proximidad logística que se encuadra dentro del crecimiento orgánico y natural de la empresaen 2015  alcanzó una facturación de  millones de euros en la actualidad cuenta con  supermercados y una plantilla de  empleados todos con contratos fijos que se esfuerzan cada día por ofrecer la máxima excelencia en el servicio de acuerdo a los valores de la empresa siguiendo el principio de que el éxito si es compartido sabe mejor la compañía compartió con sus empleados  millones de euros en concepto de prima por objetivosun proyecto de valor compartido donde el  eljefe  es el cliente es una empresa de capital familiar resultado de un proyecto compartido y sostenible que se construye y crece día a día desde su fundación en 1977 dentro del grupo cárnicas roig en 1981 juan roig asume la dirección la compañía que inicia su actividad como empresa independiente juan roig su presidente y su esposa y vicepresidenta de la compañía hortensia herrero son los principales accionistas con más del  porcentaje  del capital ha mantenido un crecimiento sostenido sobre la base de un modelo de gestión propio orientado a el  eljefe  como internamente llaman en la compañía al cliente con un surtido de máxima calidad al precio más económico posible el desarrollo del talento de sus empleados que fomente la pasión por la excelencia en el servicio y en colaboración permanente con sus proveedores y el entorno socialesta actitud responsable la refuerza con hechos año tras año desde su nacimiento confirma que su compromiso no solo es estable sino que se acrecienta y consolida para poder devolver a la sociedad parte de lo que recibe"
"31"," contratará a  directivos para portugal  ofrece empleo estable y de calidad un plan de carrera y destinará más de  euros a la formación de cada seleccionadolos candidatos pueden enviar sus cv a través de indeed o por medio de las distintas universidades portuguesas que colaboran en este proceso de selección va a iniciar la incorporación y contratación de los  primeros nuevos directivos que liderarán el proyecto de la cadena en portugal en concreto y con el propósito de estar presente en los dos territorios más relevantes de este país  de ellos trabajarán en lisboa y los otros  estarán en oportocon el inicio de este proceso se configura gran parte de la estructura y posiciones claves de la organización en portugal y se crean las bases necesarias para que  ponga en marcha un equipo humano que crezca profesionalmente y demuestre el compromiso de la cadena con el empleo estable y de calidad en este paíslos nuevos directivos estarán inmersos durante  meses en un programa de formación propio en el que  invertirá más de  euros por trabajador durante este proceso recibirán formación específica en el modelo de calidad total de  habilidades directivas y liderazgo y tendrán un proceso de inmersión en los diversos departamentos de la empresatambién en portugal aspiramos a ser una empresa referente en la generación de empleo estable y de calidad por eso desde  agradecemos a las distintas universidades portuguesas que colaboran en el proceso de selección la oportunidad que nos ofrecen para captar excelente talento humano y su capacidad para identificar profesionales que conecten con nuestro valores ha señalado javier casans director de formación rrhh de requisitos e inscripciónpara cubrir estos puestos de trabajo la compañía busca perfiles de licenciado con postgrado o master en economía administración de empresas derecho arquitectura e ingeniería que tengan carné de conducir y disponibilidad para viajar de forma habituallos interesados pueden enviar su curriculum vitae a través del portal de wwwmercadonaes o la plataforma indeed además la compañía colabora en este proceso de selección con distintas universidades portuguesasproyecto de  en portugal ha anunciado recientemente la puesta en marcha de su plan de internacionalización con la entrada en el mercado portugués su objetivo es abrir las cuatro primeras tiendas en 2019 la empresa prevé invertir en un principio  millones de euros y estima crear en torno a  puestos de trabajo en esta primera fase de expansiónapuesta sostenida por el crecimiento profesional y la conciliación tiene previsto consolidar en portugal su modelo de rrhh un modelo que apuesta por las personas y por su desarrollo profesional basado en puestos de trabajo estables y de calidad y que promueve la equidad la conciliación y la promoción interna dichas características han contribuido a que desde hace años la compañía sea reconocida en el ámbito laboral tal y como demuestran diferentes estudios de referencia como el merco personas o el estudio sobre la situación de conciliación en españa elaborado por el instituto internacional de ciencias políticas que la reconocen como una de las compañías de referencia en la gestión de los recursos humanos y la primera del sector de la distribución principales hitos2015promoción interna338 personas promocionadasplan de igualdad51 porcentaje  de los puestos promocionados son mujeresinversión en formación39 millones de eurosplanes de formación10 personas han participado en planes de formaciónconciliación15 trabajadores han disfrutado jornadas reducidasprotección de la maternidad2 trabajadoras disfrutaron de  mes más de baja maternalprima por objetivos277 millones de euros repartidos entre la plantilla"
